dimension,block_size,failures,mode,rw_ratio,read_user,read_proc,read_wall,write_user,write_proc,write_wall
4,32,0,l,0.1,3.4812e+08,3.4812e+08,3.47772e+08,3.86933e+07,3.86933e+07,3.86546e+07
4,32,0,l,0.5,8.96982e+07,8.96982e+07,8.96085e+07,8.96997e+07,8.96997e+07,8.961e+07
4,32,0,l,0.9,1.21092e+07,1.21092e+07,1.20971e+07,1.08976e+08,1.08976e+08,1.08867e+08
4,32,0,r,0.1,2.89593e+08,2.89593e+08,2.89303e+08,3.2164e+07,3.2164e+07,3.21318e+07
4,32,0,r,0.5,8.03519e+07,8.03519e+07,8.02716e+07,8.03363e+07,8.03363e+07,8.0256e+07
4,32,0,r,0.9,1.09769e+07,1.09769e+07,1.0966e+07,9.88205e+07,9.88205e+07,9.87217e+07
4,32,1,l,0.1,2.92385e+08,2.92385e+08,2.92092e+08,3.24956e+07,3.24956e+07,3.24631e+07
4,32,1,l,0.5,7.70561e+07,7.70561e+07,7.6979e+07,7.70416e+07,7.70416e+07,7.69645e+07
4,32,1,l,0.9,1.03591e+07,1.03591e+07,1.03488e+07,9.32426e+07,9.32426e+07,9.31494e+07
4,32,1,r,0.1,2.44791e+08,2.44791e+08,2.44546e+08,2.71978e+07,2.71978e+07,2.71706e+07
4,32,1,r,0.5,6.9506e+07,6.9506e+07,6.94365e+07,6.95004e+07,6.95004e+07,6.94309e+07
4,32,1,r,0.9,9.52826e+06,9.52826e+06,9.5092e+06,8.57569e+07,8.57569e+07,8.55854e+07
4,32,2,l,0.1,1.43893e+08,1.43893e+08,1.43605e+08,1.59812e+07,1.59812e+07,1.59492e+07
4,32,2,l,0.5,4.38625e+07,4.38625e+07,4.38187e+07,4.3857e+07,4.3857e+07,4.38132e+07
4,32,2,l,0.9,6.21332e+06,6.21332e+06,6.20711e+06,5.58977e+07,5.58977e+07,5.58418e+07
4,32,2,r,0.1,1.42341e+08,1.42341e+08,1.42198e+08,1.58063e+07,1.58063e+07,1.57905e+07
4,32,2,r,0.5,4.90235e+07,4.90235e+07,4.89745e+07,4.90161e+07,4.90161e+07,4.8967e+07
4,32,2,r,0.9,6.21641e+06,6.21641e+06,6.2102e+06,5.59215e+07,5.59215e+07,5.58656e+07
4,32,3,l,0.1,6.82668e+07,6.82668e+07,6.81985e+07,7.58724e+06,7.58724e+06,7.57965e+06
4,32,3,l,0.5,2.2334e+07,2.2334e+07,2.23116e+07,2.2327e+07,2.2327e+07,2.23047e+07
4,32,3,l,0.9,3.86751e+06,3.86751e+06,3.86364e+06,3.47969e+07,3.47969e+07,3.47621e+07
4,32,3,r,0.1,7.17837e+07,7.17837e+07,7.17119e+07,7.9739e+06,7.9739e+06,7.96593e+06
4,32,3,r,0.5,2.52673e+07,2.52673e+07,2.5242e+07,2.52803e+07,2.52803e+07,2.52551e+07
4,32,3,r,0.9,3.61823e+06,3.61823e+06,3.61461e+06,3.25332e+07,3.25332e+07,3.25007e+07
4,512,0,l,0.1,2.57991e+09,2.57216e+09,2.56959e+09,2.86641e+08,2.8578e+08,2.85494e+08
4,512,0,l,0.5,7.1128e+08,7.10568e+08,7.09857e+08,7.11427e+08,7.10715e+08,7.10004e+08
4,512,0,l,0.9,9.8914e+07,9.8716e+07,9.86173e+07,8.90419e+08,8.88636e+08,8.87748e+08
4,512,0,r,0.1,1.61614e+09,1.6129e+09,1.61129e+09,1.79475e+08,1.79116e+08,1.78937e+08
4,512,0,r,0.5,3.98821e+08,3.98421e+08,3.97624e+08,3.98835e+08,3.98435e+08,3.97638e+08
4,512,0,r,0.9,5.15027e+07,5.1348e+07,5.12967e+07,4.63427e+08,4.62036e+08,4.61573e+08
4,512,1,l,0.1,2.18119e+09,2.17682e+09,2.17465e+09,2.42207e+08,2.41722e+08,2.41481e+08
4,512,1,l,0.5,5.63744e+08,5.62616e+08,5.62053e+08,5.63666e+08,5.62538e+08,5.61975e+08
4,512,1,l,0.9,7.51346e+07,7.49842e+07,7.49092e+07,6.76071e+08,6.74717e+08,6.74043e+08
4,512,1,r,0.1,1.24922e+09,1.24546e+09,1.24173e+09,1.38713e+08,1.38296e+08,1.37881e+08
4,512,1,r,0.5,3.19255e+08,3.18935e+08,3.18616e+08,3.19273e+08,3.18953e+08,3.18634e+08
4,512,1,r,0.9,4.13216e+07,4.12388e+07,4.11564e+07,3.72407e+08,3.7166e+08,3.70917e+08
4,512,2,l,0.1,1.17657e+09,1.17539e+09,1.17422e+09,1.30747e+08,1.30616e+08,1.30485e+08
4,512,2,l,0.5,3.15334e+08,3.15017e+08,3.13757e+08,3.1554e+08,3.15223e+08,3.13962e+08
4,512,2,l,0.9,3.93877e+07,3.93483e+07,3.93089e+07,3.54773e+08,3.54418e+08,3.54063e+08
4,512,2,r,0.1,7.40835e+08,7.39352e+08,7.38613e+08,8.24204e+07,8.22554e+07,8.21731e+07
4,512,2,r,0.5,2.27716e+08,2.27488e+08,2.27033e+08,2.27455e+08,2.27227e+08,2.26773e+08
4,512,2,r,0.9,2.95541e+07,2.94949e+07,2.94654e+07,2.65727e+08,2.65195e+08,2.6493e+08
4,512,3,l,0.1,4.70798e+08,4.70798e+08,4.70328e+08,5.23519e+07,5.23519e+07,5.22996e+07
4,512,3,l,0.5,1.82866e+08,1.82683e+08,1.825e+08,1.82669e+08,1.82486e+08,1.82304e+08
4,512,3,l,0.9,2.26923e+07,2.26923e+07,2.26696e+07,2.04084e+08,2.04084e+08,2.0388e+08
4,512,3,r,0.1,3.71168e+08,3.70796e+08,3.70055e+08,4.12476e+07,4.12063e+07,4.11239e+07
4,512,3,r,0.5,1.21442e+08,1.2132e+08,1.21199e+08,1.21248e+08,1.21126e+08,1.21005e+08
4,512,3,r,0.9,1.99675e+07,1.99475e+07,1.99276e+07,1.79882e+08,1.79701e+08,1.79522e+08
4,1024,0,l,0.1,4.1661e+09,4.1494e+09,4.1411e+09,4.62673e+08,4.60818e+08,4.59897e+08
4,1024,0,l,0.5,1.07797e+09,1.07149e+09,1.06935e+09,1.07752e+09,1.07104e+09,1.0689e+09
4,1024,0,l,0.9,1.55359e+08,1.54582e+08,1.54427e+08,1.39927e+09,1.39226e+09,1.39087e+09
4,1024,0,r,0.1,2.65787e+09,2.64457e+09,2.64192e+09,2.95086e+08,2.93609e+08,2.93316e+08
4,1024,0,r,0.5,6.09543e+08,6.06492e+08,6.05885e+08,6.10099e+08,6.07045e+08,6.06438e+08
4,1024,0,r,0.9,7.6682e+07,7.62983e+07,7.6222e+07,6.88957e+08,6.85509e+08,6.84824e+08
4,1024,1,l,0.1,3.25709e+09,3.24405e+09,3.24081e+09,3.62161e+08,3.60711e+08,3.60351e+08
4,1024,1,l,0.5,7.86321e+08,7.83958e+08,7.8239e+08,7.86634e+08,7.8427e+08,7.82701e+08
4,1024,1,l,0.9,1.0397e+08,1.0345e+08,1.03346e+08,9.34852e+08,9.30173e+08,9.29243e+08
4,1024,1,r,0.1,1.91521e+09,1.90946e+09,1.90564e+09,2.13061e+08,2.1242e+08,2.11995e+08
4,1024,1,r,0.5,4.44708e+08,4.43371e+08,4.42484e+08,4.45161e+08,4.43823e+08,4.42935e+08
4,1024,1,r,0.9,5.68106e+07,5.65262e+07,5.64697e+07,5.10581e+08,5.08025e+08,5.07517e+08
4,1024,2,l,0.1,1.40396e+09,1.39833e+09,1.39694e+09,1.55956e+08,1.55332e+08,1.55176e+08
4,1024,2,l,0.5,4.48504e+08,4.46706e+08,4.45813e+08,4.48431e+08,4.46633e+08,4.4574e+08
4,1024,2,l,0.9,6.18629e+07,6.16152e+07,6.15536e+07,5.57618e+08,5.55385e+08,5.5483e+08
4,1024,2,r,0.1,8.21518e+08,8.18229e+08,8.17411e+08,9.10915e+07,9.07268e+07,9.06361e+07
4,1024,2,r,0.5,2.70578e+08,2.69765e+08,2.69225e+08,2.70555e+08,2.69742e+08,2.69202e+08
4,1024,2,r,0.9,3.56387e+07,3.5496e+07,3.54605e+07,3.20469e+08,3.19185e+08,3.18866e+08
4,1024,3,l,0.1,5.62214e+08,5.60524e+08,5.59403e+08,6.23887e+07,6.22011e+07,6.20767e+07
4,1024,3,l,0.5,1.81649e+08,1.81103e+08,1.80922e+08,1.81421e+08,1.80876e+08,1.80695e+08
4,1024,3,l,0.9,2.87243e+07,2.86668e+07,2.86094e+07,2.5809e+08,2.57572e+08,2.57057e+08
4,1024,3,r,0.1,4.24788e+08,4.23512e+08,4.23089e+08,4.71654e+07,4.70237e+07,4.69767e+07
4,1024,3,r,0.5,1.43327e+08,1.4304e+08,1.42754e+08,1.43306e+08,1.43018e+08,1.42732e+08
4,1024,3,r,0.9,2.1688e+07,2.16228e+07,2.15796e+07,1.95215e+08,1.94628e+08,1.94239e+08
4,2048,0,l,0.1,5.16231e+09,5.1158e+09,5.11069e+09,5.73437e+08,5.68271e+08,5.67703e+08
4,2048,0,l,0.5,1.35766e+09,1.34407e+09,1.34272e+09,1.35764e+09,1.34405e+09,1.34271e+09
4,2048,0,l,0.9,1.91057e+08,1.89526e+08,1.89147e+08,1.71936e+09,1.70557e+09,1.70216e+09
4,2048,0,r,0.1,3.82953e+09,3.78353e+09,3.77975e+09,4.25552e+08,4.2044e+08,4.20019e+08
4,2048,0,r,0.5,8.20371e+08,8.12151e+08,8.10527e+08,8.20694e+08,8.1247e+08,8.10845e+08
4,2048,0,r,0.9,1.02444e+08,1.01214e+08,1.01113e+08,9.21203e+08,9.10138e+08,9.09227e+08
4,2048,1,l,0.1,3.76416e+09,3.73776e+09,3.73029e+09,4.18234e+08,4.153e+08,4.1447e+08
4,2048,1,l,0.5,9.21862e+08,9.15402e+08,9.14487e+08,9.20315e+08,9.13867e+08,9.12953e+08
4,2048,1,l,0.9,1.22055e+08,1.20955e+08,1.20713e+08,1.10096e+09,1.09103e+09,1.08885e+09
4,2048,1,r,0.1,2.52983e+09,2.50704e+09,2.50453e+09,2.81027e+08,2.78496e+08,2.78217e+08
4,2048,1,r,0.5,5.54256e+08,5.48147e+08,5.47051e+08,5.53482e+08,5.47382e+08,5.46287e+08
4,2048,1,r,0.9,6.90043e+07,6.83136e+07,6.82453e+07,6.21512e+08,6.15291e+08,6.14675e+08
4,2048,2,l,0.1,1.73637e+09,1.7242e+09,1.72248e+09,1.92878e+08,1.91527e+08,1.91335e+08
4,2048,2,l,0.5,4.60627e+08,4.58321e+08,4.57863e+08,4.60636e+08,4.5833e+08,4.57872e+08
4,2048,2,l,0.9,6.26138e+07,6.21119e+07,6.19876e+07,5.63756e+08,5.59237e+08,5.58118e+08
4,2048,2,r,0.1,1.17799e+09,1.16855e+09,1.16739e+09,1.30977e+08,1.29928e+08,1.29798e+08
4,2048,2,r,0.5,3.3514e+08,3.32456e+08,3.32124e+08,3.35164e+08,3.3248e+08,3.32147e+08
4,2048,2,r,0.9,4.3307e+07,4.29602e+07,4.29173e+07,3.89923e+08,3.868e+08,3.86414e+08
4,2048,3,l,0.1,7.00339e+08,6.97532e+08,6.96137e+08,7.7612e+07,7.73009e+07,7.71463e+07
4,2048,3,l,0.5,2.21512e+08,2.20403e+08,2.20183e+08,2.21084e+08,2.19978e+08,2.19758e+08
4,2048,3,l,0.9,3.10595e+07,3.09041e+07,3.08732e+07,2.80948e+08,2.79542e+08,2.79262e+08
4,2048,3,r,0.1,5.25248e+08,5.22619e+08,5.22096e+08,5.81721e+07,5.78809e+07,5.7823e+07
4,2048,3,r,0.5,1.59334e+08,1.58376e+08,1.5806e+08,1.59611e+08,1.58651e+08,1.58334e+08
4,2048,3,r,0.9,2.26592e+07,2.25684e+07,2.25233e+07,2.03847e+08,2.0303e+08,2.02624e+08
4,4096,0,l,0.1,6.39846e+09,6.27665e+09,6.2641e+09,7.10718e+08,6.97188e+08,6.95793e+08
4,4096,0,l,0.5,1.59839e+09,1.56796e+09,1.56483e+09,1.59865e+09,1.56821e+09,1.56508e+09
4,4096,0,l,0.9,2.23557e+08,2.19301e+08,2.18862e+08,2.01057e+09,1.97229e+09,1.96835e+09
4,4096,0,r,0.1,4.84895e+09,4.72748e+09,4.71803e+09,5.38209e+08,5.24727e+08,5.23677e+08
4,4096,0,r,0.5,1.0369e+09,1.01199e+09,1.01098e+09,1.0357e+09,1.01082e+09,1.00981e+09
4,4096,0,r,0.9,1.2867e+08,1.2545e+08,1.25325e+08,1.16012e+09,1.13109e+09,1.12996e+09
4,4096,1,l,0.1,4.4103e+09,4.34401e+09,4.33532e+09,4.89848e+08,4.82486e+08,4.81521e+08
4,4096,1,l,0.5,1.01785e+09,1.00051e+09,9.98507e+08,1.01671e+09,9.99392e+08,9.97393e+08
